,graph,shift_list_actual,GEPA shift_list_estimated, EPA shift_list_estimated,EPA_LW shift_list_estimated,RI shift_list_estimated,DA shift_list_estimated,MDL shift_list_estimated,PBSI shift_list_estimated
27,Labeled_UG_IG_GraphInfo 122 1336039106325856257 .txt.RData.RData.RData,11,0,0,0,0,11,12,11
28,Labeled_UG_IG_GraphInfo 123 1336773543829397504 .txt.RData.RData.RData,7,0,0,0,0,17,17,16
29,Labeled_UG_IG_GraphInfo 124 1337816665820684291 .txt.RData.RData.RData,1,0,0,0,0,1,3,2
30,Labeled_UG_IG_GraphInfo 125 1330961219331760128 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
31,Labeled_UG_IG_GraphInfo 126 1338906357294985217 .txt.RData.RData.RData,1,0,0,0,0,0,2,1
32,Labeled_UG_IG_GraphInfo 127 1338977188163563523 .txt.RData.RData.RData,0,0,0,0,0,1,1,0
33,Labeled_UG_IG_GraphInfo 128 1338901629865693184 .txt.RData.RData.RData,1,0,0,0,0,0,2,1
34,Labeled_UG_IG_GraphInfo 129 1338726028911448064 .txt.RData.RData.RData,0,0,0,0,0,0,1,1
35,Labeled_UG_IG_GraphInfo 13 1336407146238394368 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
36,Labeled_UG_IG_GraphInfo 130 1338657006647988227 .txt.RData.RData.RData,0,0,0,0,0,0,1,1
37,Labeled_UG_IG_GraphInfo 131 1338725351472685057 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
38,Labeled_UG_IG_GraphInfo 132 1339647296993169409 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
39,Labeled_UG_IG_GraphInfo 133 1335722595929497604 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
40,Labeled_UG_IG_GraphInfo 134 1335711867805736961 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
41,Labeled_UG_IG_GraphInfo 135 1335683984630501377 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
42,Labeled_UG_IG_GraphInfo 136 1335682880945745920 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
43,Labeled_UG_IG_GraphInfo 137 1335661089921576962 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
44,Labeled_UG_IG_GraphInfo 138 1335658123164491777 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
45,Labeled_UG_IG_GraphInfo 139 1335648632058630149 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
46,Labeled_UG_IG_GraphInfo 14 1336709055583154176 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
47,Labeled_UG_IG_GraphInfo 140 1335643052812115975 .txt.RData.RData.RData,1,1,1,0,0,1,2,1
48,Labeled_UG_IG_GraphInfo 141 1335637673923530753 .txt.RData.RData.RData,0,0,0,0,0,0,1,1
